2024-05-13 00:34:18.0583 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-13 00:34:18.2031 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-13 00:34:31.4032 | INFO | Project2.Choosing1 | The image was loaded
2024-05-13 00:34:31.4032 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-13 00:34:43.3683 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-13 20:08:03.2002 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-13 20:08:58.5662 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-13 20:08:58.6810 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-13 20:11:14.9017 | INFO | Project2.Choosing1 | The image was loaded
2024-05-13 20:11:14.9017 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-13 20:11:18.3504 | INFO | Project2.Choosing1 | User add the position to the favourites
2024-05-13 20:11:19.3412 | INFO | ProjectTwo.YourCollections | The YourCollections form was loaded
2024-05-13 20:11:20.1634 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-13 20:11:20.3065 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-13 20:11:20.3195 | INFO | Bars.Podborki | User tried to load Podborki form
2024-05-13 20:11:20.3195 | INFO | Bars.Podborki | The Podborki form was loaded
2024-05-13 20:11:40.7463 | INFO | ProjectTwo.YourCollections | User clicked favs button and Podborki form was opened
2024-05-13 20:11:40.7463 | INFO | Project2.Choosing1 | User opened next YourCollections form and click to yours button
2024-05-13 20:11:40.8018 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-13 21:08:41.4466 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-13 21:09:29.8542 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-13 21:09:30.0067 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-13 21:10:53.1912 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-14 20:53:26.2433 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-14 20:54:06.0068 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-14 20:54:06.1308 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-14 20:54:15.4709 | INFO | ProjectTwo.YourCollections | The YourCollections form was loaded
2024-05-14 20:54:19.2701 | INFO | ProjectTwo.AddCollections | AddCollections form was loaded
2024-05-14 20:54:28.5931 | INFO | ProjectTwo.AddCollections | New matching was added
2024-05-14 20:54:28.6114 | INFO | ProjectTwo.YourCollections | User clicked favs button and Podborki form was opened
2024-05-14 20:54:28.6580 | INFO | ProjectTwo.YourCollections | The YourCollections form was loaded
2024-05-14 20:54:30.4999 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-14 20:54:30.5598 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-14 20:54:43.6809 | INFO | Project2.Choosing1 | User saw message about his mark
2024-05-14 20:54:43.7090 | INFO | Project2.Choosing1 | The information in database was updated
2024-05-14 20:54:43.7090 | INFO | Project2.Choosing1 | User liked the chosen position
2024-05-14 20:54:45.7028 | INFO | Project2.Choosing1 | The image was loaded
2024-05-14 20:54:45.7030 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-14 20:54:49.2178 | INFO | Project2.Choosing1 | User saw message about his mark
2024-05-14 20:54:49.2178 | INFO | Project2.Choosing1 | The information in database was updated
2024-05-14 20:54:49.2178 | INFO | Project2.Choosing1 | User liked the chosen position
2024-05-14 20:54:50.2091 | INFO | ProjectTwo.YourRecomendations | The connection with database was succesful
2024-05-14 20:54:50.2242 | INFO | ProjectTwo.YourRecomendations | User tried to load this form
2024-05-14 20:54:50.2242 | INFO | ProjectTwo.YourRecomendations | The YourRecomendation form was loaded
2024-05-14 20:54:54.5862 | INFO | ProjectTwo.YourRecomendations | The image was loaded
2024-05-14 20:54:54.5862 | INFO | ProjectTwo.YourRecomendations | The information about chosen position was shown
2024-05-14 20:54:59.1613 | INFO | ProjectTwo.YourRecomendations | The image was loaded
2024-05-14 20:54:59.1613 | INFO | ProjectTwo.YourRecomendations | The information about chosen position was shown
2024-05-14 20:55:03.3990 | INFO | ProjectTwo.ChoosingCollection | The label was renamed
2024-05-14 20:55:03.4372 | INFO | ProjectTwo.ChoosingCollection | The Choosing1 form was loaded
2024-05-14 20:55:05.5372 | INFO | ProjectTwo.ChoosingCollection | User added the position to the first matching
2024-05-14 20:55:05.5372 | INFO | ProjectTwo.ChoosingCollection | User clicked to the two1 button
2024-05-14 20:55:06.6515 | INFO | ProjectTwo.YourRecomendations | The connection with database was succesful
2024-05-14 20:55:06.6623 | INFO | ProjectTwo.YourRecomendations | User tried to load this form
